id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,"Rio de Janeiro, Brazil",-22.96592,-43.17896,Entire home/apt,$500.00,5,259,2020-12-26,2.03,1,0
25026,Beautiful Modern Decorated Studio in Copa,3746246,Ghizlane,"Rio de Janeiro, Brazil",-22.977120000000003,-43.19045,Entire home/apt,$160.00,7,238,2020-02-15,1.85,11,335
35636,Cosy flat close to Ipanema beach,153232,Patricia,"Rio de Janeiro, Brazil",-22.98816,-43.19359,Entire home/apt,$259.00,2,181,2020-03-15,2.07,1,267
35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,"Rio de Janeiro, Brazil",-22.981270000000002,-43.190459999999995,Entire home/apt,$157.00,3,346,2020-12-20,2.78,1,89
41198,"Modern 2bed,Top end of Copacabana",178975,Nicky,,-22.97962,-43.1923,Entire home/apt,"$1,035.00",3,18,2016-02-09,0.19,2,365
48305,"Beach Block 6bed Penthouse, Ipanema Best Location!",70933,Alex,"Rio de Janeiro, Brazil",-22.98599,-43.20299,Entire home/apt,"$6,685.00",2,80,2020-11-29,0.72,5,0
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,"Rio de Janeiro, Brazil",-22.98414,-43.1945,Private room,$104.00,3,42,2019-08-08,1.1,1,63
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,"Rio, Rio de Janeiro, Brazil",-22.96574,-43.17514,Entire home/apt,"$1,718.00",4,4,2020-03-08,0.06,2,133
49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,,-22.9791,-43.19008,Entire home/apt,$250.00,3,88,2020-11-09,0.89,39,156
50294,Beach Block Suites in Ipanema Best Location,70933,Alex,"Rio de Janeiro, Brazil",-22.98584,-43.20305,Entire home/apt,"$3,091.00",3,73,2020-09-20,0.64,5,327
50759,4 Suites lake front Barra da Tijuca,233554,Felipe,"Rio de Janeiro, Brazil",-23.00307,-43.30911,Entire home/apt,"$3,209.00",1,7,2017-01-08,0.11,4,364
51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,"Rio de Janeiro, Brazil",-22.981279999999998,-43.190909999999995,Entire home/apt,$287.00,3,170,2020-12-20,2.03,2,0
64795,Ipanema amazing 2 BDRs apartment.,93005,Andrea,"Rio de Janeiro, Brazil",-22.98178,-43.200759999999995,Entire home/apt,$743.00,2,12,2017-01-09,0.1,1,365
65546,"Beach Block 3bed Penthouse, Ipanema Best Location!",70933,Alex,"Rio de Janeiro, Brazil",-22.98599,-43.20299,Entire home/apt,"$4,018.00",2,63,2020-12-05,0.52,5,330
66574,Beach apart in Rio (January/February 2020),326301,Frederic,"Rio de Janeiro, Brazil",-22.928729999999998,-43.17473,Entire home/apt,$180.00,4,1,2016-08-24,0.02,1,322
66797,Studio Apart  for rent in ipanema.,328096,Carlos,,-22.98463,-43.19563,Entire home/apt,$177.00,3,202,2020-12-14,1.7,3,232
68422,Copacabana Beach Living+AirConWiFi,339264,David,"Rio de Janeiro, Brazil",-22.98498,-43.19135,Private room,$409.00,4,79,2017-11-22,0.65,1,90
70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,"Rio, Rio de Janeiro, Brazil",-22.9854,-43.196020000000004,Entire home/apt,$359.00,2,370,2020-12-04,3.4,5,249
73581,Studio Between Ipanema/Copacabana,384673,Pedro,"Copacabana, Rio de Janeiro, Brazil",-22.98027,-43.19255,Entire home/apt,$458.00,3,143,2020-02-26,1.2,1,120
75585,Copacabana 2 BR Penthouse Duplex,401375,Stefan,"Rio de Janeiro, Brazil",-22.98238,-43.193659999999994,Entire home/apt,$378.00,5,101,2020-02-24,0.85,1,246
76245,Spacious Home Heart of Rio290m4QT. Discount10%week,406651,Diogo,"Rio de Janeiro, Brazil",-22.981920000000002,-43.19397,Entire home/apt,"$2,523.00",2,125,2020-02-23,1.09,1,129
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,,-22.92875,-43.19341,Private room,$261.00,1,213,2020-03-07,1.98,6,0
